,Accuracy,Epochs,Layers,Loss,Nodes
0,0.7160000205039978,10,1,0.5235700376033783,10
0,0.7559999823570251,30,1,0.47347504568099974,10
0,0.7440000176429749,50,1,0.48933574771881105,10
0,0.7680000066757202,70,1,0.48447427892684936,10
0,0.7760000228881836,90,1,0.5382729825973511,10
0,0.7720000147819519,10,1,0.48010888719558714,30
0,0.7599999904632568,30,1,0.4817684779167175,30
0,0.7360000014305115,50,1,0.6106742334365844,30
0,0.7639999985694885,70,1,0.6786388478279114,30
0,0.7400000095367432,90,1,0.8974375295639038,30
0,0.7799999713897705,10,1,0.46723188066482546,50
0,0.7680000066757202,30,1,0.5387980070114136,50
0,0.6919999718666077,50,1,0.9428826599121094,50
0,0.7279999852180481,70,1,0.9827089681625366,50
0,0.7239999771118164,90,1,1.4275020008087158,50
0,0.7680000066757202,10,1,0.4828922538757324,70
0,0.7440000176429749,30,1,0.6212554001808166,70
0,0.7039999961853027,50,1,0.8871489415168762,70
0,0.699999988079071,70,1,1.219688834667206,70
0,0.7080000042915344,90,1,1.5403014373779298,70
0,0.7360000014305115,10,1,0.5012068004608154,90
0,0.7480000257492065,30,1,0.6431782245635986,90
0,0.7319999933242798,50,1,1.1247814798355102,90
0,0.7120000123977661,70,1,1.6200571756362916,90
0,0.7120000123977661,90,1,1.689048578262329,90
0,0.7440000176429749,10,2,0.5271946001052856,10
0,0.7639999985694885,30,2,0.5048350524902344,10
0,0.7360000014305115,50,2,0.567388445854187,10
0,0.7720000147819519,70,2,0.531736650466919,10
0,0.7480000257492065,90,2,0.5850713219642639,10
0,0.7519999742507935,10,2,0.4858764674663544,30
0,0.7279999852180481,30,2,0.5675073103904724,30
0,0.6840000152587891,50,2,0.8809057903289795,30
0,0.6959999799728394,70,2,1.1288870267868043,30
0,0.7279999852180481,90,2,1.6315475692749024,30
0,0.7480000257492065,10,2,0.4874895393848419,50
0,0.7319999933242798,30,2,0.789987112045288,50
0,0.7279999852180481,50,2,1.4057713241577148,50
0,0.7239999771118164,70,2,2.049211667060852,50
0,0.7480000257492065,90,2,2.013346965789795,50
